Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
739744a2-7158-c5ba-4451-c16c18ad65cf,1975-04-15,,999-97-3731,S99956889,X6607865X,Mr.,Darren774,Nelson403,West559,,,M,white,nonhispanic,M,Halifax  Massachusetts  US,274 Berge Highlands Suite 55,Harvard,Massachusetts,Worcester County,,00000,42.50668341194364,-71.58408126710299,133866.90,14772.84,164596
7ec33427-ee3a-579f-07d0-d4f13fff2117,2012-03-19,,999-31-5836,,,,Rudolph554,Edgardo196,Lueilwitz711,,,,asian,nonhispanic,M,Brookfield  Massachusetts  US,690 Macejkovic Quay,Woburn,Massachusetts,Middlesex County,25017,01801,42.49875010908673,-71.17214825309715,21400.90,22167.32,126666
c94a3248-b873-6b1f-7949-67def9aaead8,1995-05-21,,999-22-7573,S99913434,X32330987X,Mr.,Leigh689,,Haag279,,,S,white,nonhispanic,M,Hamilton  Massachusetts  US,406 Auer Bridge,Wakefield,Massachusetts,Middlesex County,25009,01940,42.47001945427143,-71.08073809298367,43623.48,676857.61,34370
3684faa9-ca88-bb15-80b0-129616cab6c3,1961-01-27,,999-94-5419,S99915224,X89792626X,Mrs.,Elicia233,Fay398,Greenholt190,,Wisoky380,M,white,nonhispanic,F,Bellingham  Massachusetts  US,314 Murazik Parade Unit 28,Somerville,Massachusetts,Middlesex County,25017,02138,42.37934295603565,-71.15097729033522,36467.35,1384759.33,565579
291f7b90-65c5-6ace-1bf1-dee2da142343,1978-08-23,,999-59-7750,S99930694,X28220462X,Mr.,Lynwood354,Jimmy858,Jakubowski832,,,D,white,nonhispanic,M,Lawrence  Massachusetts  US,507 Block Glen,Chicopee,Massachusetts,Hampden County,25013,01022,42.1648173956392,-72.50292914957201,68996.36,11321.12,48668
4caeb620-474c-be74-7a34-211a298cb56e,1991-10-10,,999-37-2126,S99916186,X5568022X,Mr.,Williams176,,Schneider199,,,M,black,nonhispanic,M,Quincy  Massachusetts  US,851 Erdman Center,Boston,Massachusetts,Suffolk County,25025,02128,42.294150226012604,-71.08171453165126,78384.23,560263.65,28235
b1d72998-e74f-01ed-a9a1-a3c04029f6de,2007-03-09,,999-91-3999,S99914406,,,Elsa29,Antonia30,Lebrón484,,,,white,hispanic,F,Bayamon  Puerto Rico  PR,291 Goodwin Overpass,Saugus,Massachusetts,Essex County,25009,01906,42.49839278204265,-71.05042553763512,58480.23,0.00,101734
89358a31-ef34-ce9a-2aa5-511dec5f1dd2,1979-12-06,,999-73-3440,S99972251,X84774152X,Mr.,Alton320,Delmer311,Anderson154,,,M,white,nonhispanic,M,Walpole  Massachusetts  US,648 Satterfield Crossing Apt 74,Needham,Massachusetts,Norfolk County,25021,02494,42.25070743169451,-71.20740161561672,99681.81,24749.57,87745
24cf130f-c6c3-da5a-6649-3944a06165c4,2007-12-01,,999-42-5803,S99943808,,,Desmond566,Donnell534,Emmerich580,,,,white,nonhispanic,M,West Stockbridge  Massachusetts  US,498 Schroeder Rest Suite 20,Bridgewater,Massachusetts,Plymouth County,25023,02324,42.00817690669467,-70.98108172862142,69893.57,35957.34,29444
914a523d-61e3-b2b2-87f7-263390b4e1db,2001-08-17,,999-57-8364,S99924553,X32260609X,Ms.,Sherly665,Luz785,Runolfsson901,,,,white,nonhispanic,F,Salem  Massachusetts  US,1011 Swaniawski Light,Worcester,Massachusetts,Worcester County,25027,01610,42.28475250215561,-71.8579556916138,199267.33,1109668.12,53171
d568b42f-70f0-faa9-78ce-7e551c57d76e,2023-06-18,,999-65-7550,,,,Allen322,Nga248,Schaden604,,,,white,nonhispanic,F,Westfield  Massachusetts  US,690 Wehner Gateway,Plymouth,Massachusetts,Plymouth County,25023,02360,41.903460911335955,-70.59873861026601,6325.88,0.00,49367
591fdee8-cf4d-a9e4-ce5e-b0501a6de965,1975-01-30,,999-17-7593,S99936670,X15506760X,Mrs.,Arie325,Lashon823,Mosciski958,,Streich926,M,white,nonhispanic,F,Wenham  Massachusetts  US,946 Brown Harbor Apt 52,Upton,Massachusetts,Worcester County,25027,01568,42.19287536645749,-71.64912066387592,254099.61,726758.25,166012
a96833b2-e5c5-3cb6-153e-297a9ef1fcc5,1997-02-10,,999-26-3355,S99919634,X53701483X,Mr.,Jeremy766,Dave764,Lockman863,,,M,white,nonhispanic,M,Freetown  Massachusetts  US,870 Powlowski Terrace Suite 55,East Bridgewater,Massachusetts,Plymouth County,,00000,42.004756716766266,-70.94434301649042,55647.94,12388.57,92730
a5b0bb70-adbd-00d9-f715-990186ebb425,1967-04-12,,999-65-8192,S99927264,X80676855X,Mr.,Broderick767,Jamison785,Ward668,,,S,white,nonhispanic,M,Mendon  Massachusetts  US,562 Padberg Annex Apt 16,Boston,Massachusetts,Suffolk County,25025,02113,42.34807173214925,-71.00839958527135,13061.95,171067.21,2538
2ea8f609-9950-4e6d-f616-447591b73965,1957-06-09,,999-62-1844,S99978917,X2621949X,Ms.,Judi176,,Swift555,JD,,S,white,nonhispanic,F,Weymouth  Massachusetts  US,1071 Schmitt Track,Boston,Massachusetts,Suffolk County,25025,02134,42.29258056138936,-71.0370332179146,24605.26,1997809.46,11761
f89bfdee-67f0-912b-765e-a2c5c4f4c2a9,1984-05-22,,999-15-2056,S99997594,X13928500X,Mrs.,Marcy588,Tandra334,Hirthe744,,Ryan260,W,white,nonhispanic,F,Cambridge  Massachusetts  US,839 Wuckert Neck Suite 97,Haverhill,Massachusetts,Essex County,25009,01835,42.77020071033197,-71.09347001865703,214191.85,929910.71,129943
6b2d182e-a9a1-6f94-0f45-2583ade09b79,1998-11-28,,999-24-3908,S99975146,X7210758X,Mr.,Alonso270,Alvaro283,Flatley871,,,,white,nonhispanic,M,Fall River  Massachusetts  US,888 Boehm Rue Suite 58,Newton,Massachusetts,Middlesex County,25017,02465,42.311695970667365,-71.27021983209771,61479.47,2551.94,674225
5b485d3a-e94c-68c3-7de4-510e12a1e1cd,1972-09-25,,999-17-8709,S99917673,X36102162X,Mrs.,Trinity427,,Feil794,,Beatty507,M,white,nonhispanic,F,Brewster  Massachusetts  US,565 Klocko Trafficway,Dartmouth,Massachusetts,Bristol County,,00000,41.52367939059395,-70.94637822000396,568943.84,9125.68,80015
32384c9a-f1b7-9efe-860e-54ded5be8585,1988-02-19,,999-54-4913,S99996023,X27195769X,Mrs.,Milda157,Frederica279,Wuckert783,,Grimes165,M,white,nonhispanic,F,Newton  Massachusetts  US,891 Jacobson Well,Norton,Massachusetts,Bristol County,,00000,41.95152209223124,-71.17372529253042,178319.38,258198.08,126394
00f25ba0-969c-58d3-40f1-16631502ba94,1956-06-26,2011-07-10,999-14-4563,S99912180,X31670754X,Ms.,Peggy868,Cherri385,King743,,,S,white,nonhispanic,F,Boston  Massachusetts  US,486 Deckow Orchard Suite 32,Seekonk,Massachusetts,Bristol County,,00000,41.836111355094,-71.32360025277973,16763.35,905187.35,2338
d6efd630-a448-49f5-9e0b-49431a87d276,1985-07-19,,999-49-4324,S99990212,X23160985X,Mr.,Rex53,Gaylord332,O'Kon634,,,M,white,nonhispanic,M,Chelmsford  Massachusetts  US,850 Huel Common Suite 59,Ware,Massachusetts,Hampshire County,25015,01082,42.255506859755,-72.26586351396257,131587.23,15384.33,42171
3f2831ea-fbd0-97a1-1d6a-b691297b123d,1959-04-06,,999-13-6230,S99939548,X35860195X,Mr.,Jamie386,Alonso270,Predovic534,,,D,white,nonhispanic,M,Newton  Massachusetts  US,476 Considine Throughway Unit 28,Ware,Massachusetts,Hampshire County,25015,01082,42.251509072376386,-72.28797328076836,269869.23,64445.13,47266
bc13a291-641e-2e96-c554-6de2f0b7753a,1961-03-26,,999-86-6731,S99969909,X45399270X,Mr.,Adalberto916,Rene434,Weissnat378,,,M,asian,nonhispanic,M,Worcester  Massachusetts  US,337 Lubowitz View Suite 2,Tyngsborough,Massachusetts,Middlesex County,,00000,42.634866009740314,-71.45665018702299,296536.93,0.00,61711
eba49039-359e-0976-12d7-375819c1dcc4,1961-12-07,,999-53-8715,S99955984,X58112723X,Mr.,Ernesto186,Erwin847,Farrell962,,,M,white,nonhispanic,M,Southwick  Massachusetts  US,682 Smitham Wall,Peabody,Massachusetts,Essex County,25009,01960,42.48756709087186,-70.99848775323365,19928.03,350124.91,19151
8dbee505-1018-b3c8-84bb-546a71f66154,1965-12-04,,999-55-1662,S99980727,X21370910X,Mrs.,Erna640,Lorrine765,Lakin515,,McClure239,M,white,nonhispanic,F,Cambridge  Massachusetts  US,295 Towne Burg Unit 89,Newbury,Massachusetts,Essex County,,00000,42.787233220909044,-70.88658299679206,840064.34,274249.18,70523
14a4eb6b-0f73-ae56-31c2-384a43153242,1966-09-25,,999-81-7287,S99959399,X37680997X,Mrs.,Guillermina633,Janine159,Leffler128,,Mayer370,M,white,nonhispanic,F,Medford  Massachusetts  US,502 Jacobs Haven,Duxbury,Massachusetts,Plymouth County,25023,02332,42.0162198967101,-70.75320364449895,682025.22,284424.93,95179
b0ea7ad6-0f1e-0b13-b0fc-8f03f4823556,1969-09-26,,999-58-8222,S99947639,X79206779X,Mr.,Val761,Aaron697,McLaughlin530,,,S,white,nonhispanic,M,Revere  Massachusetts  US,814 Hoppe Run Suite 25,Weymouth,Massachusetts,Norfolk County,25021,02191,42.2102283369213,-70.96721411130171,143686.59,9923.53,75552
c787d957-3aec-9877-ad34-72c562b92c7e,1987-10-11,,999-22-3202,S99927797,X47101807X,Mr.,Emil691,Dorian295,Maggio310,,,M,hawaiian,nonhispanic,M,Peabody  Massachusetts  US,345 Little Corner,Lynnfield,Massachusetts,Essex County,25009,01940,42.56696136239335,-71.03324718443011,105717.55,9068.81,121338
abde91cd-2608-58d2-f218-32f529f440c6,2003-08-12,,999-81-2991,S99957782,X12827064X,Mr.,Octavio643,,Zulauf375,,,,white,nonhispanic,M,North Brookfield  Massachusetts  US,216 Abernathy Avenue,Pinehurst,Massachusetts,Middlesex County,25017,01866,42.524470460689415,-71.21487181989886,32528.63,1962.95,68586
f8a96245-2309-2f6b-fe28-2473a7558a20,1973-09-14,,999-62-5729,S99960780,X55745659X,Mrs.,Cherly215,Hellen346,Schiller186,,McKenzie376,M,white,nonhispanic,F,Ashland  Massachusetts  US,988 Medhurst Union Unit 30,Springfield,Massachusetts,Hampden County,25013,01129,42.10521574840368,-72.49835286241188,15482.71,1034469.91,10725
c39d4347-3631-ff48-291e-6efc365ea247,1940-05-26,,999-83-7549,S99916866,X83899136X,Mr.,Williams176,Otha286,Von197,,,M,white,nonhispanic,M,Millville  Massachusetts  US,492 Runte Lane,Malden,Massachusetts,Middlesex County,25017,02155,42.45531752722536,-71.05561532161417,20657.28,517729.08,16230
6ce4df86-d075-b82b-22be-d71592983dc6,1961-02-23,2016-07-15,999-49-3189,S99971966,X51584201X,Mr.,Micah422,,Crist667,,,M,white,hispanic,M,Shrewsbury  Massachusetts  US,670 Klocko Gardens Apt 23,Yarmouth,Massachusetts,Barnstable County,,00000,41.67194642498396,-70.20645839148722,233449.55,196768.58,35359
ba92ba49-f591-d756-8a51-24be8b3d38ec,2009-03-13,,999-50-9881,,,,Stacia109,,Feeney44,,,,white,nonhispanic,F,Somerville  Massachusetts  US,712 Jacobi Village Unit 71,Hudson,Massachusetts,Middlesex County,25017,01749,42.414365505273345,-71.51569159442148,40945.18,0.00,67188
5fe5bc19-a4f7-c819-f596-e3b2a86238c1,1956-06-26,2012-07-01,999-91-5918,S99986756,X17579746X,Mrs.,Paulette168,Dorine689,Price929,,Hirthe744,M,white,nonhispanic,F,New Bedford  Massachusetts  US,666 Haley Wall,Seekonk,Massachusetts,Bristol County,,00000,41.86434276049279,-71.2787981525322,20323.06,1256408.64,2338
aeb46c2d-edf8-5f04-c2bd-4f5fb7f488ac,1998-05-28,,999-34-7810,S99961095,X68538118X,Mr.,Ivory697,Giuseppe872,Rempel203,,,,asian,nonhispanic,M,Boston  Massachusetts  US,433 Volkman Knoll,Somerville,Massachusetts,Middlesex County,25017,02138,42.35170923499971,-71.12293797189298,78715.89,5332.28,91252
cb3c0c57-83f8-dff2-242d-4685eda34503,1976-10-19,1990-10-28,999-27-2001,,,,Xavier983,Pete38,Crist667,,,,white,nonhispanic,M,Plainville  Massachusetts  US,943 Homenick Extension,Boston,Massachusetts,Suffolk County,25025,02136,42.40147601963562,-71.05684495582796,4174.52,87708.83,24875
c3a8c68c-dbc0-3799-4a19-bd9fd018d88b,2010-06-16,,999-18-1186,,,,Dave764,Harvey63,Bashirian201,,,,white,nonhispanic,M,North Attleborough  Massachusetts  US,845 Gorczany Approach,Hanover,Massachusetts,Plymouth County,,00000,42.11317063647377,-70.85153291072244,47247.79,4593.83,93284
bbadd089-a999-7ed0-f534-5a55f81dd933,1982-02-21,,999-28-7718,S99931956,X3083823X,Mr.,Juan88,Julio César525,Ocasio180,,,M,white,hispanic,M,Santiago  Santiago Province  CL,376 Farrell Trace Suite 56,Springfield,Massachusetts,Hampden County,25013,01108,42.096513278725745,-72.54374709896526,82806.12,9321.92,137764
ab68701c-552d-0ed8-147b-53fbbcb012c9,1993-05-11,,999-16-6051,S99925861,X51445583X,Mrs.,Laverna97,Joella167,Breitenberg711,,Schmitt836,M,white,nonhispanic,F,Sutton  Massachusetts  US,629 Donnelly Promenade Suite 30,Merrimac,Massachusetts,Essex County,,00000,42.80136960321247,-71.02608387253619,116546.98,193235.07,181250
4ff29a46-a211-4016-ba08-0d4d25589c0f,1970-10-12,,999-89-1379,S99992966,X88521081X,Mr.,Mac103,Shayne60,Gorczany269,,,M,white,nonhispanic,M,Agawam  Massachusetts  US,934 Von Well Unit 2,Lawrence,Massachusetts,Essex County,25009,01840,42.7333702167582,-71.14094084821431,149784.15,565116.67,123189
f20deb59-5974-14c6-71bc-e4c97dd10a5b,1982-03-22,,999-44-3721,S99960046,X279763X,Ms.,Lisbeth69,Carola944,Kozey370,,,S,white,nonhispanic,F,Chicopee  Massachusetts  US,356 Kutch Haven Apt 15,Revere,Massachusetts,Suffolk County,25025,02151,42.38260432550532,-70.98763292061162,42482.27,395825.19,27526
b5da2bbb-34a8-a3fb-61d0-b16875671d23,1972-03-08,,999-11-4833,S99950491,X11356244X,Mrs.,Samara159,,Beahan375,,Hauck852,M,white,nonhispanic,F,Boston  Massachusetts  US,325 Senger Harbor,Orange,Massachusetts,Franklin County,25011,01364,42.584577717463404,-72.27745034073882,15818.64,654153.31,8834
5c2bcd77-984a-1371-57fc-3075cad38796,1958-11-17,,999-82-1473,S99911905,X77734681X,Mr.,Maxwell782,Hilton264,Parisian75,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,690 Gutmann Drive,Fall River,Massachusetts,Bristol County,25005,02721,41.68166957861462,-70.97678562777152,150741.80,244412.50,25845
6debab2b-dc2c-e27c-cc89-c2c7376bb447,1955-07-30,,999-78-4243,S99977247,X83836798X,Mr.,Clement78,Humberto482,Gusikowski974,,,S,white,nonhispanic,M,Hull  Massachusetts  US,260 Johns Flat,Revere,Massachusetts,Suffolk County,25025,02151,42.429665195851335,-70.95656554434242,16857.95,680943.70,19454
d25cc473-ad8f-42db-437d-e356b2ac7c0f,1975-07-25,,999-58-8987,S99946403,X2108179X,Mr.,Odis959,Dusty207,Mraz590,,,S,white,nonhispanic,M,Quincy  Massachusetts  US,754 Little Divide,Somerset,Massachusetts,Bristol County,25005,02726,41.798719624571035,-71.17804277978505,10114.45,116252.40,6354
e7816af0-3b5a-167e-507b-c5b7b9845391,1976-10-19,,999-19-2150,S99992549,X1370645X,Mr.,Jordan900,Josh874,Keeling57,,,M,white,nonhispanic,M,Waltham  Massachusetts  US,1050 Metz Corner,Boston,Massachusetts,Suffolk County,25025,02151,42.36803094935086,-71.0673297889691,71733.63,91245.10,24875
08a07a53-c466-ca67-2602-47b541dc8190,1967-06-20,,999-20-3571,S99969714,X64212760X,Mrs.,Ethelyn789,,Langworth352,,Spinka232,M,white,nonhispanic,F,Auburn  Massachusetts  US,422 Cassin Vale Suite 13,Barre,Massachusetts,Worcester County,25027,01005,42.419126618123954,-72.06020865455824,493254.29,1670567.72,27136
889f8776-ece8-b662-b1b3-43410f7fda4e,1956-06-26,2018-04-25,999-63-7271,S99998263,X9290646X,Mrs.,Debrah72,Alethea978,Hudson301,,Casper496,D,white,nonhispanic,F,Revere  Massachusetts  US,484 O'Hara Vista,Seekonk,Massachusetts,Bristol County,,00000,41.791863983335446,-71.34563549562957,19479.70,707972.25,2338
f455ba55-4104-e4c5-14b9-8c93bd10172c,1969-10-21,,999-65-8830,S99954291,X66078379X,Mr.,Chauncey770,Mario764,Brakus656,,,S,white,nonhispanic,M,Bellingham  Massachusetts  US,943 Schmeler Ranch Suite 67,Watertown,Massachusetts,Middlesex County,25017,02472,42.383654524734915,-71.22041494190792,167271.72,237021.12,101228
2144de49-7aa4-2367-b3e4-c2cbadef0c7f,1947-10-15,2014-12-15,999-50-6932,S99928654,X74117951X,Ms.,Tamar361,Cristy798,Balistreri607,,,S,white,nonhispanic,F,Methuen  Massachusetts  US,679 Brown Crossroad Apt 34,Woburn,Massachusetts,Middlesex County,25017,01801,42.498724893647555,-71.12718449383785,392358.91,1272956.67,32672
4bcac612-bd22-a2c2-b039-c46b1e8a1a12,1959-01-20,,999-82-6028,S99924917,X87592011X,Mr.,Parker433,Gerry91,Wolf938,,,D,white,nonhispanic,M,Gardner  Massachusetts  US,151 Corkery Club,Newbury,Massachusetts,Essex County,,00000,42.73541769620547,-70.87824869971546,411888.43,71796.62,41671
af3dcf69-23fa-7f0c-6702-379ca6a2702e,1982-06-04,,999-30-9348,S99966471,X33851104X,Mr.,Victor265,Isaiah615,Wilkinson796,,,M,white,nonhispanic,M,Halifax  Massachusetts  US,321 Senger Key Suite 88,Montague,Massachusetts,Franklin County,,00000,42.56589534322328,-72.53338773445195,90045.85,0.00,45177
32778f03-91b6-6e20-2f73-9f3d8334617e,2006-11-08,,999-46-7025,S99911385,,Ms.,Earnestine14,,Bergstrom287,,,,black,nonhispanic,F,Billerica  Massachusetts  US,348 Ebert Corner Apt 55,Boston,Massachusetts,Suffolk County,25025,02163,42.31760279720601,-71.08455946700562,266200.33,604.20,58709
1d791ba0-3c6c-e2d2-4fac-e2261e113988,1998-03-21,,999-85-5086,S99968659,X71744626X,Ms.,Larhonda769,,Gleason633,,,,white,nonhispanic,F,Woburn  Massachusetts  US,301 Powlowski Bay Suite 2,Danvers,Massachusetts,Essex County,25009,01937,42.5400824195101,-70.99860151973868,106374.97,198678.67,92796
9245a11d-4cf5-6a69-bcd2-9c563182d7d1,1956-06-26,1971-07-25,999-83-3852,,,,Alfredia958,Lennie123,Hyatt152,,,,white,nonhispanic,F,Chelsea  Massachusetts  US,445 Swift Walk,Seekonk,Massachusetts,Bristol County,,00000,41.848389891820624,-71.27512263972635,3895.86,46924.72,2338
9a1bffa6-2d17-fa92-dbef-d17b3edec0ef,2001-04-04,,999-25-9465,S99948899,X53317781X,Mr.,Wade235,Fermin479,Kiehn525,,,,white,nonhispanic,M,Malden  Massachusetts  US,474 Larkin Track Suite 2,Taunton,Massachusetts,Bristol County,25005,02718,41.906035520862744,-71.15944969810035,115230.07,622741.78,42322
8917ae8c-8cc7-a607-387b-c9e6e6b5cc75,1961-02-23,,999-61-1970,S99947208,X81522764X,Mr.,Norbert530,Shelby741,Sauer652,,,W,white,hispanic,M,Boston  Massachusetts  US,387 Gulgowski Green Apt 20,Yarmouth,Massachusetts,Barnstable County,,00000,41.640314844505156,-70.27027549377941,50164.05,249620.22,35359
73911e5c-3a4e-dfd0-228b-d2ac9908fa6c,1952-07-18,,999-21-7820,S99955747,X43442869X,Mrs.,Tashia814,Clemmie560,Howe413,,Ortiz186,M,white,nonhispanic,F,East Longmeadow  Massachusetts  US,760 Shanahan Route Unit 28,Raynham,Massachusetts,Bristol County,,00000,41.92136555226643,-71.00911234745367,457214.19,1325315.67,138216
264bc2d6-35f3-a4ab-61ce-06cfa502ee2d,1964-10-05,2020-04-16,999-91-8189,S99922766,X40256555X,Mrs.,Roni48,Hye44,Greenfelder433,,White193,D,white,nonhispanic,F,Cambridge  Massachusetts  US,820 Vandervort Rapid Suite 21,Amherst,Massachusetts,Hampshire County,,00000,42.3440022664862,-72.52799874886077,13802.11,404059.24,17174
544f32b6-4390-2517-e26a-e6fefecdb02c,1943-11-07,1996-01-31,999-50-2124,S99953015,X48406882X,Mr.,Myles862,Joesph309,Torphy630,,,M,white,nonhispanic,M,Dalton  Massachusetts  US,1028 Casper Branch,Boston,Massachusetts,Suffolk County,25025,02125,42.444906927329555,-70.98221925530194,579525.34,291575.36,39786
e478f277-5e52-244d-b622-7e50628c15a3,1943-03-19,2008-05-03,999-77-6261,S99984256,X78205591X,Mr.,Alvaro283,,Doyle959,,,M,white,nonhispanic,M,Duxbury  Massachusetts  US,672 Feest Port,Waltham,Massachusetts,Middlesex County,25017,02472,42.37595029648205,-71.2756351905091,668685.33,312930.34,35325
404352ec-cb52-31ec-5c04-6989280767f1,1964-09-06,,999-11-5612,S99929164,X79056792X,Mrs.,Hae300,Lydia759,Altenwerth646,,Fahey393,M,asian,nonhispanic,F,Brockton  Massachusetts  US,234 Gulgowski Road Apt 23,Lowell,Massachusetts,Middlesex County,25017,01850,42.677421428193156,-71.30073554294077,322844.91,509664.21,129894
051094af-3cdc-5ed5-1a96-6102b63aecb5,2001-08-23,,999-32-7251,S99956406,X8886803X,Mr.,Clarence5,,Ernser583,,,,white,nonhispanic,M,Hampden  Massachusetts  US,956 Lebsack Row Suite 61,Northborough,Massachusetts,Worcester County,25027,01532,42.27854469629407,-71.63912724069604,42337.05,3793.33,62207
077fe6d5-099a-c3b6-a6fb-e467fb96958b,1981-02-14,,999-73-1633,S99979873,X53065603X,Mr.,Rosario163,Dennis979,Goyette777,,,W,white,nonhispanic,M,Belchertown  Massachusetts  US,282 Mueller Wall Suite 89,Marshfield,Massachusetts,Plymouth County,25023,02050,42.12754996472317,-70.74476442509194,110875.35,459.00,157546
ac640b6f-2b3c-6f8f-6920-b73afcd90b35,2010-03-29,,999-66-2831,,,,Jeffery551,Jay242,Murazik203,,,,white,nonhispanic,M,Hamilton  Massachusetts  US,196 Gulgowski Divide,Boston,Massachusetts,Suffolk County,25025,02120,42.25752670412921,-71.06184958129519,39110.70,2983.93,94042
ac62f99d-4b79-2630-aaa0-aa0cd1a57800,1997-10-23,,999-41-3995,S99932734,X69956218X,Ms.,Danyell947,Clarissa466,Conroy74,,,,asian,nonhispanic,F,Wellesley  Massachusetts  US,112 Turner Approach,Worcester,Massachusetts,Worcester County,25027,01607,42.35625049012669,-71.7841197706719,501894.39,322336.40,56137
a7a0de56-cc01-b2c0-428c-8867b922324a,1977-05-16,,999-72-1935,S99994327,X63389179X,Mr.,Efrain317,Hosea56,Balistreri607,,,M,asian,nonhispanic,M,Delhi  Delhi  IN,1086 Rosenbaum Boulevard,Framingham,Massachusetts,Middlesex County,25017,01702,42.28917798622258,-71.41479019324291,116250.94,20632.10,43463
cdea4df9-0a83-bbe5-b8c7-bfd62aa74755,1969-08-21,,999-51-9916,S99931169,X65966311X,Mrs.,Lady554,,Hahn503,,Armstrong51,M,white,nonhispanic,F,Methuen  Massachusetts  US,662 Rippin Plaza Apt 50,Gloucester,Massachusetts,Essex County,25009,01930,42.58847903649411,-70.63651358961187,140614.72,492762.74,27897
73b56e84-c5d1-56c1-5e48-a2e531b179e9,2005-12-28,,999-67-6113,S99974181,,Ms.,Colby655,Kimberlie352,Oberbrunner298,,,,white,hispanic,F,Chelsea  Massachusetts  US,439 Torphy Passage Suite 85,Plymouth,Massachusetts,Plymouth County,25023,02360,41.91193477059712,-70.61295086199888,104284.42,749901.74,70176
